iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
460,0.408792,4.436583,2.696709,0.007542,0
461,0.397250,4.485833,2.626791,0.006500,0
462,0.419541,4.487625,2.542958,0.008167,0
463,0.385833,4.178000,2.662584,0.008208,0
464,0.392875,4.463875,2.599834,0.007875,0
465,0.378333,4.394542,2.615041,0.007833,0
466,0.382875,4.276375,2.566875,0.007625,0
467,0.428375,4.339417,2.695834,0.008167,0
468,0.388209,4.425750,2.646834,0.016375,0
469,0.349083,4.566000,2.667083,0.008042,0
470,0.387292,4.282125,2.615625,0.007500,0
471,0.395417,4.381375,2.545667,0.007750,0
472,0.428500,4.377000,2.644333,0.008000,0
473,0.417333,5.790791,2.666209,0.008167,0
474,0.402334,4.552042,2.674250,0.008209,0
475,0.388625,4.736000,3.063291,0.008000,0
476,0.429875,4.442334,2.671917,0.008167,0
477,0.448958,4.356375,4.467042,0.006333,0
478,0.392166,4.793833,2.765041,0.007292,0
479,0.428041,4.573917,2.663167,0.005792,0
480,0.424250,4.623208,2.723125,0.007666,0
481,0.391792,4.580833,4.429334,0.004875,0
482,0.425333,5.275833,2.680000,0.007959,0
483,0.419000,5.372834,2.594500,0.008459,0
484,0.397542,4.292000,2.743375,0.007417,0
485,1.812334,4.985167,2.546458,0.013209,0
486,0.419792,4.384875,2.664875,0.007917,0
487,0.430916,4.619833,3.448375,0.008000,0
488,0.388167,6.331834,2.519458,0.006042,0
489,0.411000,4.484875,2.628583,0.008000,0
490,0.390709,4.928625,2.692458,0.009000,0
491,0.390375,4.557958,2.640250,0.007875,0
492,0.411500,4.480167,2.529917,0.006458,0
493,0.453250,4.265083,2.584583,0.008583,0
494,0.392667,4.464500,2.628583,0.008000,0
495,0.381250,4.459333,2.607292,0.007667,0
496,0.402416,4.451792,2.633542,0.008583,0
497,0.368834,4.327125,2.612000,0.008208,0
498,0.388875,4.508375,2.620125,0.008000,0
499,0.371500,4.528875,2.497292,0.006542,0
500,0.384750,4.290208,6.340209,0.006125,0
501,0.375000,4.464834,5.209875,0.008042,0
502,0.392083,4.517750,2.501167,0.008416,0
503,0.421833,4.262875,2.685083,0.008500,0
504,0.389666,4.434250,2.616292,0.007375,0
505,0.376250,4.472209,2.470792,0.006292,0
506,0.412625,4.271333,2.633833,0.008208,0
507,0.398584,4.721083,2.778500,0.007583,0
508,0.394000,4.612750,2.643917,0.007500,0
509,0.392416,4.536583,2.611959,0.008042,0
510,0.386250,4.393458,2.640042,0.008000,0
511,0.385875,4.359875,2.728166,0.008250,0
512,0.395375,4.550625,2.479458,0.006333,0
513,0.406792,4.504875,2.628667,0.008084,0
514,0.399292,4.222084,2.757250,0.008084,0
515,0.387292,4.560208,2.714375,0.008000,0
516,0.370167,4.539708,2.552500,0.015667,0
517,0.382792,4.508375,2.608792,0.008042,0
518,0.400709,4.441417,2.788000,0.008167,0
519,0.396875,4.463750,2.639583,0.007333,0
520,0.399792,4.436833,2.593417,0.006667,0
521,0.395167,4.285709,2.633500,0.008458,0
522,0.392334,4.280750,2.893334,0.008125,0
523,0.397583,4.547750,2.572833,0.006208,0
524,0.381542,4.518458,2.625334,0.008125,0
525,0.390042,4.177792,2.734125,0.008375,0
526,0.388166,4.438167,2.651333,0.007750,0
527,0.399583,4.428291,2.556500,0.018083,0
528,0.381833,4.297709,2.601625,0.007875,0
529,0.395084,4.467875,2.791167,0.008042,0
530,0.408541,4.445625,2.655709,0.008292,0
531,0.381459,4.448500,2.566417,0.007709,0
532,0.399125,4.200000,2.641041,0.008041,0
533,0.393209,4.414459,2.699667,0.008083,0
534,0.391125,4.375209,2.516791,0.006166,0
535,0.359125,4.469709,2.630917,0.007583,0
536,0.381417,4.254958,2.695458,0.008167,0
537,0.391084,4.400083,2.613375,0.007791,0
538,0.345542,4.245583,2.746916,0.007959,0
539,0.416209,4.365042,2.760083,0.008292,0
540,0.394792,4.456583,4.473917,0.006375,0
541,0.433334,4.356167,2.854709,0.007208,0
542,0.427000,4.603208,3.712250,0.006250,0
543,0.395083,4.561583,2.790708,0.007875,0
544,0.437709,5.366625,2.783042,0.006750,0
545,0.383000,4.517875,2.767625,0.008125,0
546,0.407792,4.319792,2.736292,0.008584,0
547,0.381083,5.192417,3.519791,0.006500,0
548,0.387208,4.407625,3.321584,0.005917,0
549,0.390167,5.246417,2.715959,0.008000,0
550,0.428250,4.383250,4.088292,0.008084,0
551,0.423542,4.533084,4.934875,0.008208,0
552,0.384333,4.587875,3.621833,0.007541,0
553,0.421083,4.377041,3.468500,0.008334,0
554,0.404541,4.494667,2.602834,0.008167,0
555,0.408708,4.436167,2.558583,0.007708,0
556,0.376209,4.549041,2.726000,0.008625,0
557,0.409625,4.810084,2.598542,0.007916,0
558,0.376083,4.504709,2.646708,0.008250,0
559,0.403917,4.408083,2.676541,0.008042,0
560,0.372708,4.478791,2.614125,0.008500,0
561,0.398208,4.462916,4.190917,0.005917,0
562,0.447917,4.343041,2.673125,0.008083,0
563,0.403500,4.547500,2.668625,0.007291,0
564,0.405000,4.532333,2.501667,0.007541,0
565,0.418042,4.386875,2.645750,0.008209,0
566,0.428542,4.290375,2.733000,0.007958,0
567,0.379542,4.508417,2.724750,0.008000,0
568,0.405750,4.430791,2.581917,0.008166,0
569,0.396875,4.419709,2.684209,0.007750,0
570,0.381666,4.363708,2.683000,0.007916,0
571,0.405833,4.471917,2.514416,0.009250,0
572,0.414583,4.474792,2.635792,0.006250,0
573,0.409541,4.266292,2.708417,0.008583,0
