iteration,temps_border_ms,temps_move_ms,temps_migrate_ms,temps_evap_ms,food_quantity
517,0.012542,0.142500,0.125167,0.026875,0
518,0.012584,0.140458,0.110125,0.030583,0
519,0.012125,0.137875,0.109292,0.031584,0
520,0.012458,0.150333,0.122417,0.032125,0
521,0.011875,0.142542,0.113875,0.031708,0
522,0.011875,0.140375,0.109875,0.030792,0
523,0.012167,0.265000,0.252041,0.022417,0
524,0.017417,0.177708,0.144125,0.029541,0
525,0.034417,0.139833,0.105666,0.030375,0
526,0.010625,0.143416,0.110250,0.037167,0
527,0.019541,0.201375,0.180750,0.031000,0
528,0.011875,0.148291,0.119667,0.030916,0
529,0.026625,0.145708,0.132125,0.032416,0
530,0.011084,0.142542,0.113625,0.030542,0
531,0.011375,0.141208,0.112083,0.031167,0
532,0.011542,0.143083,0.113542,0.031625,0
533,0.012000,0.143208,0.115250,0.032083,0
534,0.011041,0.144500,0.114833,0.031875,0
535,0.021000,0.143292,0.121833,1.725500,0
536,0.012875,0.154083,0.123333,0.030958,0
537,0.012291,0.147250,0.117959,0.031209,0
538,0.011750,0.143750,0.113333,0.030875,0
539,0.012084,0.142583,0.113042,0.031709,0
540,0.011167,0.142500,0.113375,0.030334,0
541,0.017791,0.197042,0.175333,0.028042,0
542,0.011833,0.146334,0.118292,0.030166,0
543,0.011709,0.142500,0.113292,0.032208,0
544,0.020291,0.142833,0.116750,0.030875,0
545,0.011334,0.182250,0.153250,0.031375,0
546,0.352334,0.129417,0.421834,0.032958,0
547,0.015667,0.149333,0.120417,0.032041,0
548,0.011917,0.141583,0.112625,0.030583,0
549,0.019500,0.142458,0.115750,0.031583,0
550,0.011916,0.139750,0.111459,0.031500,0
551,0.011792,0.140750,0.112166,0.031458,0
552,0.011917,0.139833,0.111542,0.030666,0
553,0.012000,0.211958,0.188875,0.030542,0
554,0.014167,0.142000,0.112459,0.031292,0
555,0.011958,0.139250,0.113084,0.031083,0
556,0.011834,0.138959,0.112167,0.030791,0
557,0.011625,0.137709,0.110083,0.031333,0
558,0.011917,0.139875,0.114084,0.031833,0
559,0.011542,0.138458,0.110542,0.030542,0
560,0.011792,0.136625,0.130500,0.020250,0
561,0.011916,0.156291,0.127750,0.021792,0
562,0.012042,0.199750,0.185208,0.026583,0
563,0.013250,0.153833,0.124166,0.031750,0
564,0.012167,0.144750,0.113417,0.030834,0
565,0.011958,1.649958,1.623541,0.031334,0
566,0.011625,0.147334,0.118333,0.030458,0
567,0.011875,0.139708,0.109667,0.031042,0
568,0.011917,0.140333,0.110958,0.030917,0
569,0.011666,0.140375,0.113792,0.030667,0
570,0.011666,0.139416,0.111209,0.031250,0
571,0.011583,0.137916,0.110500,0.023958,0
572,0.013083,0.141291,0.114916,0.031500,0
573,0.011916,0.139500,0.109625,0.031291,0
