iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
302,0.629000,4.846000,2.885000,0.008000,0
303,0.716000,4.756000,2.979000,0.007000,0
304,0.616000,4.962000,2.846000,0.007000,0
305,0.607000,4.642000,2.813000,0.007000,0
306,0.716000,4.709000,2.860000,0.007000,0
307,0.749000,4.736000,2.864000,0.008000,0
308,0.641000,4.455000,3.004000,0.008000,0
309,0.670000,4.504000,2.895000,0.009000,0
310,0.602000,6.235000,2.916000,0.008000,0
311,0.627000,4.580000,3.015000,0.008000,0
312,0.642000,4.706000,2.969000,0.009000,0
313,0.675000,5.760000,2.927000,0.008000,0
314,0.609000,5.610000,2.906000,0.005000,0
315,0.957000,4.669000,2.989000,0.009000,0
316,0.838000,4.408000,3.162000,0.006000,0
317,0.659000,5.099000,2.932000,0.009000,0
318,0.639000,4.664000,3.110000,0.008000,0
319,0.643000,4.805000,2.889000,0.008000,0
320,0.581000,4.944000,2.960000,0.008000,0
321,0.617000,4.584000,3.489000,0.007000,0
322,0.687000,5.387000,2.984000,0.008000,0
323,0.615000,4.509000,2.951000,0.009000,0
324,0.636000,5.282000,3.170000,0.010000,0
325,0.674000,5.542000,2.894000,0.007000,0
326,0.640000,5.242000,2.812000,0.008000,0
327,0.620000,4.741000,2.945000,0.009000,0
328,0.670000,4.628000,3.695000,0.006000,0
329,0.657000,4.667000,2.825000,0.017000,0
330,0.728000,4.740000,2.645000,0.008000,0
331,1.034000,5.202000,2.661000,0.006000,0
332,0.644000,4.655000,2.785000,0.007000,0
333,0.772000,5.273000,2.735000,0.008000,0
334,0.614000,4.744000,2.800000,0.007000,0
335,0.633000,4.630000,2.734000,0.006000,0
336,0.653000,4.618000,2.815000,0.009000,0
337,0.684000,4.537000,2.827000,0.007000,0
338,0.660000,4.494000,2.835000,0.009000,0
339,0.663000,5.025000,2.803000,0.009000,0
340,0.665000,5.586000,2.807000,0.008000,0
341,0.641000,5.221000,2.954000,0.008000,0
342,0.645000,4.535000,3.299000,0.006000,0
343,0.655000,4.628000,5.260000,0.006000,0
344,0.710000,5.573000,2.735000,0.009000,0
345,0.631000,6.076000,2.846000,0.008000,0
346,0.659000,5.721000,2.847000,0.007000,0
347,0.636000,4.650000,2.717000,0.010000,0
348,0.676000,4.603000,2.642000,0.006000,0
349,0.602000,5.000000,2.771000,0.020000,0
350,0.612000,6.265000,2.638000,0.020000,0
351,0.598000,4.663000,2.579000,0.011000,0
352,0.658000,4.401000,3.596000,0.007000,0
353,1.663000,4.867000,2.702000,0.008000,0
354,0.669000,4.973000,2.694000,0.008000,0
355,0.643000,4.316000,2.759000,0.007000,0
356,0.669000,5.970000,3.164000,0.007000,0
357,0.691000,4.394000,2.781000,0.009000,0
358,2.109000,5.636000,3.049000,0.013000,0
359,2.237000,4.920000,2.734000,0.008000,0
360,0.644000,4.648000,2.755000,0.008000,0
361,0.630000,4.675000,2.848000,0.009000,0
362,0.628000,4.578000,2.631000,0.005000,0
363,0.643000,4.511000,2.650000,0.009000,0
364,0.675000,4.616000,2.711000,0.010000,0
365,0.674000,4.455000,2.708000,0.008000,0
366,2.198000,4.949000,3.189000,0.012000,0
367,0.623000,4.415000,2.625000,0.007000,0
368,0.620000,4.686000,2.674000,0.009000,0
369,0.647000,4.486000,2.928000,0.008000,0
370,0.649000,4.568000,3.523000,0.009000,0
371,0.626000,4.487000,2.656000,0.008000,0
