iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
468,3.120500,1.486500,3.204600,0.006000,0
469,2.581200,1.280600,2.587800,0.006000,0
470,1.845000,1.298800,2.660800,0.006300,0
471,2.095300,1.400700,2.762000,0.005900,0
472,1.902100,1.431300,2.635900,0.006000,0
473,1.856700,1.314600,2.774100,0.006500,0
474,2.485800,1.767200,3.108300,0.006500,0
475,1.848400,1.283200,2.608100,0.007700,0
476,2.057000,1.388500,2.604700,0.007000,0
477,1.842200,1.371100,2.620400,0.006100,0
478,1.892600,2.272600,2.653400,0.005900,0
479,1.877500,1.387500,2.620100,0.005900,0
480,1.885900,1.339000,2.993100,0.007100,0
481,2.663100,1.427300,2.641200,0.006200,0
482,2.479700,1.404600,3.375300,0.006200,0
483,2.081700,1.420900,2.601600,0.006000,0
484,1.875800,1.399100,2.623800,0.005900,0
485,2.029300,1.712800,2.656800,0.006200,0
486,1.875400,1.420600,2.625300,0.006600,0
487,1.922000,1.468200,2.616600,0.006600,0
488,1.799000,1.276600,2.478400,0.005700,0
489,1.757100,1.274400,2.451000,0.005800,0
490,1.809000,1.254200,2.643100,0.006100,0
491,1.778400,1.258100,2.497500,0.006600,0
492,1.776600,1.265400,2.586000,0.006300,0
493,1.869900,1.281400,2.515400,0.005700,0
494,1.807100,1.255200,2.499700,0.005800,0
495,1.804700,1.255100,2.483100,0.006500,0
496,1.888500,1.267900,2.469500,0.005600,0
497,1.772000,1.336400,2.469000,0.005700,0
498,1.744200,1.215200,2.578600,0.005600,0
499,1.760700,1.244500,2.568800,0.005900,0
500,1.799900,1.233300,2.437200,0.005900,0
501,1.788900,1.307000,2.456900,0.005700,0
502,1.814100,1.239600,2.450800,0.006000,0
503,1.786200,1.244000,2.477700,0.005700,0
504,1.846400,1.214000,2.609900,0.005800,0
505,1.948900,1.239200,2.508300,0.005900,0
506,1.792000,1.251000,2.634900,0.005700,0
507,1.820100,1.300200,2.613700,0.006000,0
508,1.734700,1.231500,2.438000,0.005500,0
509,1.798700,1.295400,2.559700,0.005600,0
510,1.802900,1.247100,2.517700,0.005700,0
511,1.771000,1.240500,2.423500,0.005500,0
512,1.840500,1.286800,2.486400,0.005700,0
513,1.780400,1.260900,2.437100,0.005700,0
514,1.769200,1.224200,2.829300,0.005900,0
515,1.823100,1.278000,2.430600,0.005700,0
516,1.631800,1.232900,2.432900,0.005600,0
517,1.784800,1.490900,2.486300,0.005600,0
518,1.777000,1.212900,2.426400,0.005600,0
519,1.780700,1.230400,2.554000,0.019000,0
520,1.871100,1.216900,2.492900,0.005900,0
521,1.764500,1.232800,2.424600,0.006000,0
522,1.833600,1.260800,2.745800,0.005800,0
523,1.744400,1.214700,2.431600,0.005600,0
524,1.804800,1.234300,2.681000,0.005500,0
525,1.760500,1.333200,2.441000,0.005700,0
526,1.773600,1.242200,2.409300,0.005500,0
527,1.818100,1.263500,2.461200,0.005700,0
528,1.830100,1.220400,2.496100,0.005700,0
529,1.771800,1.250600,2.586700,0.005900,0
530,1.788100,1.235100,2.790300,0.006000,0
531,1.798600,1.233900,2.447600,0.005900,0
532,1.788400,1.375700,2.506800,0.005600,0
533,1.763300,1.397800,2.426900,0.006300,0
534,1.778000,1.233900,2.447200,0.007800,0
535,1.826500,1.251000,2.452900,0.005500,0
536,1.894000,1.233000,2.459400,0.005600,0
537,1.810100,1.296900,2.456700,0.005900,0
538,1.777700,1.260600,2.775600,0.005600,0
539,1.772600,1.226600,2.952700,0.006100,0
540,2.086500,1.288100,2.474600,0.006100,0
541,1.853300,1.278700,2.535100,0.006100,0
542,1.863600,1.217600,2.442100,0.005600,0
543,1.802300,1.231200,2.486800,0.005800,0
544,1.869900,1.216700,2.532300,0.005500,0
545,1.792700,1.247100,2.436600,0.005500,0
546,1.812200,1.231600,2.623400,0.005900,0
547,1.916700,1.339800,2.398200,0.005900,0
548,1.819000,1.267300,2.470900,0.006400,0
549,1.857600,1.285900,2.688000,0.005700,0
550,1.855500,1.351600,2.521500,0.005800,0
551,1.845400,1.292700,2.606200,0.006200,0
552,2.015300,1.260500,2.644900,0.005700,0
553,1.792500,1.271400,2.447600,0.005800,0
554,1.839500,1.353400,2.711500,0.005700,0
555,2.043700,1.268200,2.469800,0.005600,0
556,1.821800,1.254600,2.476800,0.005600,0
557,2.036000,1.235700,2.514500,0.005900,0
558,1.818800,1.256100,2.478800,0.005600,0
559,1.792700,1.249100,2.860000,0.005700,0
560,1.813400,1.249100,2.507100,0.005900,0
561,1.843200,1.248900,2.454600,0.005800,0
562,1.790100,1.394100,2.476500,0.005600,0
563,1.792200,1.271800,2.495700,0.006100,0
564,1.789700,1.271400,4.401700,0.012200,0
565,3.773600,1.456600,3.040500,0.007800,0
566,3.360300,1.443300,2.970100,0.006100,0
567,1.743400,1.326100,2.472600,0.006000,0
568,1.815800,1.248500,2.548100,0.006200,0
569,1.758000,1.270700,2.469500,0.005600,0
570,1.800600,1.246100,2.433400,0.005700,0
571,1.869600,1.260500,2.472200,0.006600,0
572,1.947400,1.269100,2.499500,0.006100,0
573,1.831700,1.242300,2.726700,0.005900,0
