iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,food_quantity
371,1.0330,0.9340,0.0980,0.0010,0
372,1.0310,0.9330,0.0970,0.0010,0
373,1.0330,0.9360,0.0960,0.0010,0
374,1.0870,0.9900,0.0960,0.0010,0
375,1.0470,0.9490,0.0970,0.0010,0
376,1.0510,0.9540,0.0970,0.0000,0
377,1.0820,0.9850,0.0970,0.0000,0
378,1.0290,0.9320,0.0970,0.0000,0
379,1.0310,0.9340,0.0960,0.0010,0
380,1.0540,0.9570,0.0960,0.0000,0
381,1.0570,0.9600,0.0960,0.0010,0
382,1.0930,0.9960,0.0960,0.0010,0
383,1.0390,0.9420,0.0970,0.0000,0
384,1.0510,0.9530,0.0970,0.0010,0
385,1.0850,0.9870,0.0970,0.0010,0
386,1.0370,0.9390,0.0970,0.0010,0
387,1.0340,0.9370,0.0960,0.0010,0
388,1.0340,0.9370,0.0960,0.0010,0
389,1.0490,0.9410,0.1070,0.0010,0
390,1.0980,0.9980,0.0990,0.0010,0
391,1.0710,0.9730,0.0970,0.0010,0
392,1.0990,0.9720,0.1260,0.0010,0
393,1.0520,0.9550,0.0960,0.0010,0
394,1.0430,0.9420,0.1000,0.0010,0
395,1.0420,0.9450,0.0970,0.0000,0
396,1.0400,0.9430,0.0960,0.0010,0
397,1.0900,0.9870,0.1030,0.0000,0
398,1.0430,0.9460,0.0970,0.0000,0
399,1.0560,0.9590,0.0970,0.0000,0
400,1.0830,0.9860,0.0970,0.0000,0
401,1.0340,0.9360,0.0970,0.0010,0
402,1.0510,0.9340,0.1170,0.0000,0
403,1.0390,0.9430,0.0960,0.0000,0
404,1.0380,0.9420,0.0960,0.0000,0
405,1.0840,0.9870,0.0960,0.0010,0
406,1.0470,0.9370,0.1090,0.0010,0
407,1.0500,0.9520,0.0970,0.0010,0
408,1.0800,0.9820,0.0970,0.0010,0
409,1.0290,0.9320,0.0970,0.0000,0
410,1.0420,0.9450,0.0970,0.0000,0
411,1.0380,0.9410,0.0960,0.0010,0
412,1.0570,0.9490,0.1080,0.0000,0
413,1.0700,0.9700,0.0990,0.0010,0
414,1.0380,0.9410,0.0960,0.0010,0
415,1.0730,0.9620,0.1100,0.0010,0
416,1.0860,0.9890,0.0970,0.0000,0
417,1.0440,0.9470,0.0960,0.0010,0
418,1.0460,0.9490,0.0970,0.0000,0
419,1.0430,0.9460,0.0960,0.0010,0
420,1.0430,0.9460,0.0970,0.0000,0
421,1.0880,0.9910,0.0970,0.0000,0
422,1.0490,0.9510,0.0970,0.0010,0
423,1.0860,0.9890,0.0970,0.0000,0
424,1.0470,0.9500,0.0970,0.0000,0
425,1.0460,0.9490,0.0960,0.0010,0
426,1.0430,0.9460,0.0970,0.0000,0
427,1.0570,0.9600,0.0960,0.0010,0
428,1.0380,0.9380,0.0990,0.0010,0
429,1.0680,0.9710,0.0960,0.0010,0
430,1.0500,0.9530,0.0960,0.0010,0
431,1.0460,0.9490,0.0970,0.0000,0
432,1.0440,0.9470,0.0960,0.0010,0
433,1.0370,0.9390,0.0970,0.0010,0
434,1.0380,0.9410,0.0970,0.0000,0
435,1.0370,0.9400,0.0960,0.0010,0
436,1.0370,0.9410,0.0960,0.0000,0
437,1.0450,0.9470,0.0970,0.0010,0
438,1.0820,0.9730,0.1080,0.0010,0
439,1.0950,0.9980,0.0960,0.0010,0
440,1.0490,0.9510,0.0970,0.0010,0
441,1.0460,0.9500,0.0960,0.0000,0
442,1.0570,0.9600,0.0970,0.0000,0
443,1.0480,0.9520,0.0960,0.0000,0
444,1.0660,0.9690,0.0960,0.0010,0
445,1.0600,0.9640,0.0960,0.0000,0
446,1.0400,0.9430,0.0970,0.0000,0
447,1.0520,0.9560,0.0960,0.0000,0
448,1.0480,0.9510,0.0970,0.0000,0
449,1.0550,0.9580,0.0970,0.0000,0
450,1.0500,0.9530,0.0960,0.0010,0
451,1.0450,0.9480,0.0970,0.0000,0
452,1.0900,0.9930,0.0960,0.0010,0
453,1.0890,0.9890,0.0990,0.0010,0
454,1.0620,0.9580,0.1030,0.0010,0
455,1.1440,1.0270,0.1160,0.0010,0
456,1.0780,0.9650,0.1120,0.0010,0
457,1.1650,1.0640,0.1010,0.0000,0
458,1.0690,0.9700,0.0990,0.0000,0
459,1.0680,0.9680,0.0990,0.0010,0
460,1.0860,0.9880,0.0980,0.0000,0
461,1.2240,1.1090,0.1140,0.0010,0
462,1.1110,1.0020,0.1080,0.0010,0
463,1.0600,0.9580,0.1020,0.0000,0
464,1.0530,0.9560,0.0970,0.0000,0
465,1.0580,0.9600,0.0970,0.0010,0
466,1.0560,0.9590,0.0970,0.0000,0
467,1.0500,0.9530,0.0960,0.0010,0
468,1.0730,0.9750,0.0970,0.0010,0
469,1.0500,0.9520,0.0970,0.0010,0
470,1.1010,0.9880,0.1130,0.0000,0
471,1.1120,0.9920,0.1190,0.0010,0
472,1.1220,1.0090,0.1130,0.0000,0
473,1.1230,1.0240,0.0990,0.0000,0
474,1.0470,0.9490,0.0970,0.0010,0
475,1.0720,0.9610,0.1100,0.0010,0
476,1.1170,1.0200,0.0960,0.0010,0
477,1.0440,0.9470,0.0960,0.0010,0
478,1.0430,0.9440,0.0980,0.0010,0
479,1.0420,0.9450,0.0970,0.0000,0
480,1.0430,0.9470,0.0960,0.0000,0
481,1.0390,0.9420,0.0960,0.0010,0
482,1.0500,0.9490,0.1000,0.0010,0
483,1.0930,0.9850,0.1070,0.0010,0
484,1.1140,1.0170,0.0970,0.0000,0
485,1.0460,0.9490,0.0970,0.0000,0
486,1.0540,0.9540,0.0990,0.0010,0
487,1.0400,0.9430,0.0970,0.0000,0
488,1.0380,0.9410,0.0960,0.0010,0
489,1.0460,0.9490,0.0970,0.0000,0
490,1.0550,0.9580,0.0970,0.0000,0
491,1.0790,0.9820,0.0970,0.0000,0
492,1.0820,0.9850,0.0960,0.0010,0
493,1.0480,0.9510,0.0970,0.0000,0
494,1.0510,0.9540,0.0960,0.0010,0
495,1.0580,0.9610,0.0970,0.0000,0
496,1.0400,0.9440,0.0960,0.0000,0
497,1.0440,0.9470,0.0960,0.0010,0
498,1.0530,0.9560,0.0970,0.0000,0
499,1.1470,1.0500,0.0960,0.0010,0
500,1.0480,0.9510,0.0970,0.0000,0
501,1.0420,0.9450,0.0960,0.0000,0
502,1.0450,0.9480,0.0960,0.0010,0
503,1.0410,0.9450,0.0960,0.0000,0
504,1.0430,0.9460,0.0970,0.0000,0
505,1.0650,0.9680,0.0960,0.0010,0
506,1.1220,1.0240,0.0970,0.0010,0
507,1.1010,1.0040,0.0960,0.0010,0
508,1.0540,0.9560,0.0970,0.0010,0
509,1.0500,0.9530,0.0960,0.0010,0
510,1.0420,0.9450,0.0960,0.0010,0
511,1.0440,0.9470,0.0970,0.0000,0
512,1.0400,0.9430,0.0960,0.0010,0
513,1.0520,0.9530,0.0990,0.0000,0
514,1.0480,0.9520,0.0960,0.0000,0
515,1.0620,0.9660,0.0960,0.0000,0
516,1.0570,0.9480,0.1090,0.0000,0
517,1.0610,0.9640,0.0960,0.0010,0
518,1.0440,0.9480,0.0960,0.0000,0
519,1.0400,0.9440,0.0960,0.0000,0
520,1.0810,0.9820,0.0980,0.0010,0
521,1.1080,1.0070,0.0990,0.0010,0
522,1.0680,0.9710,0.0970,0.0000,0
523,1.0860,0.9890,0.0960,0.0010,0
524,1.0440,0.9470,0.0970,0.0000,0
525,1.0470,0.9500,0.0960,0.0010,0
526,1.0530,0.9560,0.0960,0.0010,0
527,1.0410,0.9440,0.0970,0.0000,0
528,1.0690,0.9720,0.0960,0.0010,0
529,1.0600,0.9630,0.0970,0.0000,0
530,1.0680,0.9550,0.1120,0.0010,0
531,1.0680,0.9710,0.0960,0.0010,0
532,1.0640,0.9670,0.0960,0.0010,0
533,1.0490,0.9500,0.0990,0.0000,0
534,1.0520,0.9550,0.0960,0.0010,0
535,1.0510,0.9510,0.0990,0.0010,0
536,1.0680,0.9710,0.0960,0.0010,0
537,1.2420,1.1450,0.0960,0.0010,0
538,1.0740,0.9770,0.0960,0.0010,0
539,1.0700,0.9730,0.0970,0.0000,0
540,1.0520,0.9560,0.0960,0.0000,0
541,1.0490,0.9520,0.0960,0.0010,0
542,1.0470,0.9500,0.0960,0.0010,0
543,1.0590,0.9490,0.1090,0.0010,0
544,1.1300,1.0100,0.1200,0.0000,0
545,1.0560,0.9590,0.0970,0.0000,0
546,1.0650,0.9680,0.0970,0.0000,0
547,1.0490,0.9520,0.0960,0.0010,0
548,1.0420,0.9450,0.0960,0.0010,0
549,1.0440,0.9470,0.0970,0.0000,0
550,1.0520,0.9530,0.0980,0.0010,0
551,1.0460,0.9490,0.0960,0.0010,0
552,1.0600,0.9630,0.0960,0.0010,0
553,1.0420,0.9450,0.0970,0.0000,0
554,1.0620,0.9650,0.0970,0.0000,0
555,1.0630,0.9610,0.1010,0.0010,0
556,1.0420,0.9450,0.0970,0.0000,0
557,1.0400,0.9430,0.0960,0.0010,0
558,1.0500,0.9520,0.0970,0.0010,0
559,1.0560,0.9590,0.0960,0.0010,0
560,1.0460,0.9490,0.0970,0.0000,0
561,1.0430,0.9460,0.0960,0.0010,0
562,1.0560,0.9590,0.0960,0.0010,0
563,1.0400,0.9430,0.0960,0.0010,0
564,1.0540,0.9570,0.0960,0.0010,0
565,1.0370,0.9400,0.0960,0.0010,0
566,1.0490,0.9520,0.0970,0.0000,0
567,1.0480,0.9500,0.0980,0.0000,0
568,1.0510,0.9510,0.0990,0.0010,0
569,1.0460,0.9490,0.0970,0.0000,0
570,1.0790,0.9820,0.0970,0.0000,0
571,1.0640,0.9650,0.0980,0.0010,0
