iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
314,31.360,2.736,0.826,0.023,27.033,0
315,32.982,2.094,0.488,0.007,30.221,0
316,33.991,2.082,0.548,0.012,31.173,0
317,33.175,2.208,0.807,0.009,29.929,0
318,33.964,2.509,0.811,0.015,28.510,0
319,32.860,2.356,0.805,0.008,29.376,0
320,33.419,2.317,0.609,0.009,30.167,0
321,34.489,2.255,0.645,0.007,31.241,0
322,31.482,2.595,0.795,0.007,27.668,0
323,32.842,2.113,0.565,0.015,29.509,0
324,33.833,2.124,0.513,0.009,31.031,0
325,33.700,2.114,0.602,0.013,30.797,0
326,34.605,2.436,1.067,0.007,30.150,0
327,30.439,3.245,0.980,0.007,25.235,0
328,35.537,1.903,0.464,0.006,32.987,0
329,31.563,1.663,0.446,0.005,29.430,0
330,34.176,1.841,0.512,0.009,31.799,0
331,33.081,2.981,0.584,0.006,29.500,0
332,33.519,2.160,0.539,0.005,30.808,0
333,32.967,2.090,0.671,0.012,30.183,0
334,33.852,2.119,0.483,0.006,31.236,0
335,32.221,1.865,0.480,0.006,29.862,0
336,33.676,1.964,0.549,0.009,30.899,0
337,33.807,1.980,0.487,0.005,31.190,0
338,33.552,2.054,0.572,0.012,30.181,0
339,32.807,2.326,0.695,0.006,28.951,0
340,33.309,2.223,0.580,0.013,30.132,0
341,33.817,2.274,0.864,0.006,29.253,0
342,33.100,2.260,0.589,0.015,29.575,0
343,33.426,2.304,0.607,0.014,29.575,0
344,32.676,2.119,0.564,0.012,29.973,0
345,33.152,2.085,0.744,0.007,30.305,0
346,33.587,2.029,0.510,0.011,31.029,0
347,33.755,2.030,0.460,0.006,31.253,0
348,32.941,2.089,0.553,0.008,30.280,0
349,33.870,2.235,0.548,0.013,31.065,0
350,34.138,2.340,0.587,0.008,31.192,0
351,31.496,2.724,0.762,0.008,27.991,0
352,33.525,2.159,0.499,0.011,30.838,0
353,33.346,2.092,0.476,0.006,30.764,0
354,34.447,2.236,0.503,0.006,31.693,0
355,32.668,3.007,0.759,0.008,28.882,0
356,33.441,2.349,0.591,0.008,30.484,0
357,33.130,2.354,0.628,0.014,30.121,0
358,33.347,2.215,0.533,0.009,30.580,0
359,33.937,2.409,0.610,0.015,30.894,0
360,31.939,2.540,0.537,0.007,28.840,0
361,34.057,2.137,0.554,0.011,31.347,0
362,33.774,2.351,0.540,0.007,30.852,0
363,33.457,2.423,0.611,0.007,30.407,0
364,36.854,2.331,0.589,0.007,33.918,0
365,30.326,2.827,0.754,0.009,26.727,0
366,33.247,2.670,0.657,0.008,29.902,0
367,31.716,2.692,0.731,0.008,28.276,0
368,33.482,2.297,0.533,0.006,30.639,0
369,33.689,2.241,0.552,0.007,30.881,0
370,33.977,2.389,0.928,0.008,30.643,0
371,32.988,2.544,0.578,0.007,29.849,0
372,33.529,2.325,0.612,0.010,30.573,0
373,34.594,2.414,0.691,0.029,31.451,0
374,31.254,2.548,0.622,0.007,28.058,0
375,32.780,2.436,0.550,0.007,29.779,0
376,34.400,2.072,0.558,0.012,31.751,0
377,34.308,2.568,0.648,0.008,31.067,0
378,32.125,2.517,0.652,0.016,28.930,0
379,33.477,2.205,0.543,0.013,30.709,0
380,34.059,2.761,0.748,0.017,30.524,0
381,32.350,2.785,0.689,0.010,28.856,0
382,33.889,2.343,0.572,0.007,30.958,0
383,33.421,2.860,0.707,0.009,29.836,0
384,32.031,2.668,0.702,0.018,28.634,0
385,33.083,2.165,0.514,0.006,30.390,0
386,33.556,1.997,0.516,0.006,31.029,0
387,33.747,2.188,0.551,0.014,30.987,0
388,40.177,2.316,0.649,0.015,37.189,0
389,26.896,3.674,1.002,0.012,22.194,0
390,32.353,2.585,0.685,0.009,29.064,0
391,34.823,2.475,0.638,0.007,31.694,0
392,34.383,2.527,0.659,0.009,31.178,0
393,31.344,2.890,0.798,0.009,27.635,0
394,32.756,2.201,0.570,0.015,29.962,0
395,33.526,2.362,0.591,0.015,30.550,0
396,34.053,2.660,0.720,0.016,30.648,0
397,34.994,2.703,0.681,0.008,31.592,0
398,34.784,3.035,0.778,0.009,30.951,0
399,29.790,3.115,0.806,0.036,25.820,0
400,32.672,2.435,0.624,0.008,29.596,0
401,33.344,2.212,0.570,0.013,30.540,0
402,34.555,2.212,0.569,0.014,31.753,0
403,32.150,2.682,0.700,0.011,28.747,0
404,33.722,2.220,0.570,0.009,30.916,0
405,34.953,2.171,0.523,0.008,32.234,0
406,32.470,2.622,0.693,0.008,29.137,0
407,31.542,2.563,0.721,0.018,28.229,0
408,35.241,2.172,0.533,0.008,32.521,0
409,31.003,2.425,0.711,0.009,27.851,0
410,33.895,2.031,0.505,0.008,31.344,0
411,35.113,2.263,0.537,0.008,32.297,0
412,34.782,2.770,0.710,0.010,31.280,0
413,31.690,3.256,0.933,0.026,27.463,0
414,32.156,2.292,0.544,0.009,29.294,0
415,32.990,2.103,0.528,0.012,30.337,0
416,34.467,2.264,0.607,0.016,31.573,0
417,33.922,2.443,0.638,0.008,30.823,0
418,31.419,2.648,0.762,0.011,27.988,0
419,33.200,1.996,0.691,0.008,30.496,0
420,33.746,2.068,0.525,0.008,31.137,0
421,34.154,2.075,0.492,0.007,31.572,0
422,32.760,2.475,0.692,0.017,29.566,0
423,33.397,2.744,0.752,0.016,29.877,0
424,35.632,2.445,0.645,0.008,32.524,0
425,31.447,2.960,0.688,0.010,27.777,0
426,33.386,3.246,0.676,0.008,29.447,0
427,34.270,2.539,0.656,0.009,31.057,0
428,31.784,2.713,0.645,0.008,28.409,0
429,33.177,2.131,0.553,0.013,30.471,0
430,33.300,2.312,0.602,0.015,30.337,0
431,33.220,2.409,0.563,0.008,30.233,0
432,32.876,2.269,0.581,0.014,30.003,0
433,33.516,2.068,0.519,0.011,30.910,0
434,33.061,2.286,0.543,0.008,30.216,0
435,33.738,2.394,0.544,0.009,30.781,0
436,34.518,2.336,0.553,0.007,31.614,0
437,32.023,2.866,0.833,0.021,28.292,0
438,32.628,2.421,0.619,0.016,29.563,0
439,33.130,2.094,0.531,0.007,30.491,0
440,33.966,2.076,0.568,0.012,31.302,0
441,34.496,2.318,0.528,0.007,31.636,0
442,36.876,2.629,0.644,0.009,33.584,0
443,29.073,3.724,0.897,0.009,24.426,0
444,32.402,2.459,0.729,0.014,29.190,0
445,33.511,2.054,0.555,0.013,30.876,0
446,33.026,2.171,0.552,0.013,30.281,0
447,33.919,2.126,0.536,0.007,31.243,0
448,32.482,2.323,0.600,0.009,29.541,0
449,33.699,2.421,0.570,0.009,30.692,0
450,33.429,2.156,0.582,0.013,30.670,0
451,34.011,2.265,0.551,0.007,31.180,0
452,34.444,2.450,0.704,0.017,31.259,0
453,31.700,3.063,1.062,0.010,27.556,0
454,33.557,2.237,0.504,0.006,30.803,0
455,33.857,2.382,0.539,0.007,30.920,0
456,32.493,2.199,0.599,0.014,29.672,0
457,33.558,2.014,0.444,0.007,31.087,0
458,33.853,2.126,0.508,0.007,31.205,0
459,33.907,2.700,0.633,0.008,30.557,0
460,32.305,2.745,0.707,0.009,28.833,0
461,32.696,2.653,0.782,0.008,29.244,0
462,33.104,2.452,0.530,0.007,30.107,0
463,34.628,2.088,0.528,0.006,31.998,0
464,31.663,2.230,0.647,0.016,28.762,0
465,34.865,2.027,0.483,0.009,32.339,0
466,35.308,2.542,0.728,0.007,32.022,0
467,30.826,3.211,0.887,0.011,26.706,0
468,32.656,2.429,0.643,0.008,29.568,0
469,34.079,2.191,0.545,0.006,31.330,0
470,35.452,2.264,0.633,0.013,32.531,0
471,32.566,2.878,0.735,0.009,28.933,0
472,32.283,2.895,0.838,0.021,28.519,0
473,32.425,2.423,0.659,0.008,29.325,0
474,34.554,2.197,0.526,0.007,31.817,0
475,33.527,2.335,0.561,0.007,30.614,0
476,34.581,2.606,0.698,0.018,31.240,0
477,31.087,2.789,0.650,0.011,27.620,0
478,32.498,2.522,0.833,0.016,29.117,0
479,33.316,2.150,0.618,0.013,30.527,0
480,33.293,2.121,0.537,0.009,30.618,0
481,33.588,1.986,0.486,0.006,31.102,0
482,35.225,2.223,0.524,0.007,32.463,0
483,32.695,2.660,0.723,0.008,29.294,0
484,31.159,2.542,0.655,0.014,27.938,0
485,34.807,1.893,0.477,0.006,32.424,0
486,33.659,2.292,0.601,0.028,30.730,0
487,34.342,2.520,0.752,0.018,31.043,0
488,31.539,2.814,0.757,0.008,27.950,0
489,33.867,2.287,0.525,0.008,31.039,0
490,33.130,2.591,0.667,0.008,29.855,0
491,32.451,2.334,0.645,0.010,29.451,0
492,33.915,2.089,0.568,0.012,31.238,0
493,34.414,2.385,0.709,0.015,31.297,0
494,31.742,2.687,0.629,0.008,28.409,0
495,33.630,2.119,0.492,0.006,31.005,0
496,33.029,2.137,0.510,0.007,30.367,0
497,33.498,1.965,0.542,0.005,30.978,0
498,33.364,2.319,0.600,0.015,30.420,0
499,32.882,2.301,0.610,0.015,29.947,0
500,34.116,2.114,0.536,0.006,31.452,0
501,34.806,2.493,0.657,0.008,31.638,0
502,32.663,2.837,0.805,0.019,28.992,0
503,34.588,2.792,0.708,0.008,31.069,0
504,33.031,3.052,0.849,0.026,29.095,0
505,32.277,3.050,0.840,0.022,28.355,0
506,31.940,2.852,0.782,0.017,28.279,0
507,32.834,2.279,0.632,0.014,29.892,0
508,34.687,2.224,0.671,0.008,31.776,0
509,32.904,2.361,0.650,0.016,29.869,0
510,33.942,2.379,0.648,0.016,30.890,0
511,34.551,2.648,0.738,0.020,31.135,0
512,30.501,3.103,1.118,0.041,26.229,0
513,33.364,1.945,0.527,0.005,30.880,0
514,33.685,2.256,0.649,0.008,30.764,0
515,34.892,2.271,0.531,0.007,32.075,0
516,34.152,2.644,0.737,0.019,30.741,0
517,30.033,2.160,0.599,0.006,27.259,0
518,33.646,1.990,0.530,0.011,31.107,0
519,33.309,2.000,0.517,0.012,30.055,0
520,34.614,2.139,0.645,0.012,31.727,0
521,31.915,2.412,0.920,0.010,28.540,0
522,34.647,1.815,0.483,0.013,32.331,0
523,33.826,2.156,0.519,0.006,31.137,0
524,31.541,2.342,0.580,0.013,28.598,0
525,33.712,1.847,0.517,0.010,31.332,0
526,25.976,2.167,0.517,0.008,23.276,0
527,40.220,2.162,0.812,0.009,37.229,0
528,34.582,2.221,0.575,0.013,31.765,0
529,32.083,2.498,0.645,0.008,28.921,0
530,33.230,2.018,0.495,0.007,30.704,0
531,34.752,1.931,0.653,0.010,32.150,0
532,32.623,2.057,0.561,0.013,29.984,0
533,33.010,2.170,0.679,0.013,30.139,0
534,33.282,2.071,0.672,0.009,30.525,0
535,34.150,1.871,0.435,0.007,31.828,0
536,32.988,2.133,0.535,0.006,30.306,0
537,32.460,2.353,0.591,0.006,29.499,0
538,33.632,1.935,0.538,0.011,31.142,0
539,32.832,2.130,0.548,0.006,30.138,0
540,34.456,2.061,0.527,0.011,31.850,0
541,32.221,2.240,0.588,0.009,29.375,0
542,33.777,2.074,0.515,0.011,31.170,0
543,33.743,2.229,0.620,0.014,30.864,0
544,33.905,2.272,0.554,0.006,31.063,0
545,33.623,2.424,0.618,0.007,30.563,0
546,32.349,2.394,0.588,0.007,29.347,0
547,33.315,2.319,0.583,0.007,30.396,0
548,35.531,2.372,0.582,0.009,32.561,0
549,30.233,2.700,0.664,0.007,26.851,0
550,34.284,2.004,0.542,0.006,31.725,0
551,32.510,2.696,0.607,0.006,29.190,0
552,33.614,2.105,0.496,0.011,30.987,0
553,33.986,2.120,0.573,0.013,31.269,0
554,32.740,2.284,0.571,0.006,29.856,0
555,33.902,2.329,0.596,0.014,30.953,0
556,34.549,2.527,0.631,0.012,31.372,0
557,31.049,2.873,0.785,0.008,27.372,0
